from_str|to_char|rel_frequency
ha|w|0.001514413351979631
ha|u|0.0015338741795505389
ha|o|0.0005614998051759288
ha|c|0.0010639893590078148
ha|y|0.0007417871089830277
ha|h|0.00033095177532380403
ha|f|0.00018809517615913653
ha|g|0.0006700645428547629
ha|z|0.00041589671824923804
ha|a|8.451335199140177e-05
ha|j|5.0731552518515545e-05
ha|q|2.2521199648590815e-05
ha|Î|8.631818680644563e-06
at| |0.6974887240549302
at|h|0.044270977946781594
at|t|0.03176311347083656
at|e|0.10313191176522178
at|c|0.018940969433938273
at|i|0.06810428673727419
at|u|0.010410842020229747
at|o|0.008782586396717666
at|a|0.0034723912721494146
at|m|0.0018009254176867774
at|r|0.003836341207492363
at|s|0.005568044690844488
at|f|0.0003282694080035787
at|l|0.0008783228132820891
at|y|0.0005011531142126835
at|n|0.000198039761455567
at|b|0.0001772902941179239
at|k|7.717946201465605e-05
at|z|3.268575885764813e-05
at|w|0.00012026134574456661
at|j|2.6610657080441277e-05
at|g|2.3059717309256993e-05
at|p|1.3348110947102378e-05
at|v|2.703848114925866e-05
at|d|7.059097135486834e-06
at|Ã|1.856756458667446e-05
 o|f|0.3116508839946632
 o|n|0.2581646685226302
 o|u|0.1252445711162821
 o|h|0.06931129567073023
 o|k|0.0554098575528956
 o|r|0.052435650621849336
 o|v|0.030944018326052928
 o|t|0.022629512803228512
 o|l|0.016665547947205327
 o|w|0.016201438054361198
 o|p|0.01782215312079885
 o| |0.003117696586778989
 o|o|0.003313234467096001
 o|b|0.0070526137729758
 o|i|0.0014322386068340589
 o|c|0.003187477704952579
 o|d|0.001544031211162186
 o|s|0.0009547199488150142
 o|x|0.000680832035301391
 o|a|0.0007741776697882907
 o|m|0.0007551356364037977
 o|z|0.00024286526745805357
 o|y|0.00024191316578882894
 o|g|0.0001591596623720534
 o|j|3.24507985594067e-05
 o|e|3.18557350161413e-05
of| |0.8423256219688365
of|f|0.13057863578341586
of|t|0.0115642367185927
of|e|0.008852072382374732
of|i|0.003793658038826259
of|a|0.0007888844145663958
of|o|0.0006127079664008789
of|y|0.0004120965046201724
of|u|0.0002766043541239461
of|s|0.0002184490217197949
of|c|8.649994819777114e-05
of|h|0.00020891936640987096
of|b|6.389756060372077e-05
of|Ã|2.9932891678607244e-05
of|m|4.8381326958075384e-05
of|l|4.0684297669290664e-05
of|r|3.372031878896163e-05
of|w|1.7348859666784608e-05
of|j|4.764827654961969e-05
is| |0.6959274633962201
is|n|0.019693265472515067
is|t|0.09165855090093875
is|s|0.0407447137077354
is|h|0.04238488728059328
is|e|0.03736271733586727
is|o|0.0114921017722939
is|i|0.016381500550846504
is|l|0.003941126282892518
is|k|0.0042294479819847755
is|c|0.010259767614958885
is|a|0.009775839197787621
is|g|0.00223616464097943
is|p|0.004102238531328434
is|f|0.0015446777340860976
is|d|0.0006894752225573715
is|u|0.0014295383894455207
is|m|0.0035970099270705262
is|y|0.0006413723000533688
is|r|0.0012169506888835507
is|b|0.0004937501701056607
is|q|7.952069845680144e-05
is|j|6.946227677699769e-05
is|v|2.4199379217880798e-05
is|w|1.3312616929152028e-05
is|z|1.0945929475080555e-05
in| |0.2213910975478191
in|k|0.055483685313129444
in|g|0.47860656776856075
in|t|0.0408862107259337
in|d|0.04854402973598303
in|e|0.04720321781245024
in|c|0.017383549285894605
in|u|0.0109762753308563
in|s|0.022880041317375446
in|n|0.008388294140293039
in|a|0.014732364266586374
in|i|0.013201089817831984
in|f|0.004957670881040097
in|l|0.001966495786548529
in|v|0.0066914358726946664
in|y|0.0013259187412656805
in|j|0.0012550839296067073
in|o|0.0019474041452804116
in|m|0.0003696913358188778
in|b|0.00030387765418138574
in|h|0.0008116358816078815
in|q|0.00030427480570850853
in|p|0.00010550046638354869
in|x|9.131648327202023e-05
in|r|3.5998949137059234e-05
in|w|0.00010567067418088703
in|z|4.136049475321699e-05
